"country","indicator","group","Unit","Date","Value"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2018Q2","89509200.581182"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2018Q3","90470591.6062699"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2020Q2","80291894"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2020Q4","69675468.1"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Educational Group","Persons","2016Q1","78486570.0000001"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Educational Group","Persons","2017Q1","82592121.4492778"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Educational Group","Persons","2017Q2","83940087.6232448"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Educational Group","Persons","2017Q3","85088054.8180451"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Educational Group","Persons","2017Q4","86537538.2371821"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Educational Group","Persons","2018Q1","102035706.822766"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Educational Group","Persons","2018Q2","103902962.374023"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Educational Group","Persons","2018Q3","90470591.6062699"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2010","19386385.0560041"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2011","20006749.3777961"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2012","22336938.3511429"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2013","21997230.9557448"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2014Q1","22162852.843454"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2014Q2","22278505.7056965"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2014Q3","22429718.6723885"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2014Q4","22547061.4685881"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2015Q1","22503028.2144098"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2015Q2","22609071.84"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2015Q3","23185051.4293427"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2015Q4","23509431.8844646"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2016Q1","23576409.4368849"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2016Q2","23602666.6178278"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2016Q3","23833972.7506825"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2016Q4","24058427.4739369"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2017Q1","24928571.0057886"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2017Q2","24856685.9069474"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2017Q3","25225351.0878587"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2017Q4","25565537.7270629"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2018Q1","26319578.9435961"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2018Q2","26903267.3274174"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2018Q3","26916045.3486781"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2020Q2","15847257"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Never Attended","Persons","2020Q4","20652597"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2010","1876619.12725877"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2012","135014.575711052"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2013","121510.493125656"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2014Q1","122425.371788722"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2014Q2","143102.893873403"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2014Q3","150971.322501849"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2014Q4","155630.560114364"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2015Q1","356707.116899613"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2015Q2","400497.6"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2015Q3","416783"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2015Q4","416446.59779592"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2016Q1","524718.648516168"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2016Q2","555858.301308748"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2016Q3","641974.908499573"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2016Q4","640778.473982032"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2017Q1","549657.007776984"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2017Q2","664023.836424102"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2017Q3","674525"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2017Q4","388593.665451388"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2018Q1","407025.001308486"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2018Q2","1061382.3323429"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2018Q3","408901.513092815"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Below primary","Persons","2020Q2","85710.89"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2010","15682208.7679129"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2011","16775319.0391149"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2012","11205634.9600356"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2013","14181831.8056253"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2014Q1","14288609.8705348"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2014Q2","14357685.3808252"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2014Q3","14464042.1313988"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2014Q4","14545983.6094566"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2015Q1","14646603.8047536"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2015Q2","14790185"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2015Q3","15123506.7549414"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2015Q4","15379173.8677641"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2016Q1","15484656.7482654"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2016Q2","15602414.3869926"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2016Q3","15755318.0479851"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2016Q4","15754773.3889975"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2017Q1","16061893.0014475"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2017Q2","16472633.3011797"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2017Q3","16488049.757641"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2017Q4","15082963.4486989"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2018Q1","16287602.1016266"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2018Q2","15228450.8722925"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2018Q3","15788588.1498025"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2020Q2","14831238"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Primary","Persons","2020Q4","9240842.3"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2010","20736399.8637132"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2011","21399964.6593519"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2012","26161627.8183921"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2013","25284745.432296"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2014Q1","25475119.724277"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2014Q2","25613103.2146346"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2014Q3","25790811.8615303"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2014Q4","25928990.5922149"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2015Q1","26108351.4499809"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2015Q2","26312599.9177637"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2015Q3","27024116"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2015Q4","27360445.3932256"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2016Q1","28103917.2170301"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2016Q2","27808945.3493536"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2016Q3","28081473.0137772"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2016Q4","28263663.6411517"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2017Q1","29669004.0005685"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2017Q2","29359359.1630611"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2017Q3","29642688.9197972"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2017Q4","32134841.3443136"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2018Q1","31363535.6050667"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2018Q2","31922338.2562885"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2018Q3","32812555.1186624"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2020Q2","33823679"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Secondary","Persons","2020Q4","26690250"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2010","7489016.82958229"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2011","7728665.36812884"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2012","9266559.60287489"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2013","9520481.31320811"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2014Q1","9592163.06670546"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2014Q2","9645247.67018759"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2014Q3","9710290.0121804"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2014Q4","9753942.00707784"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2015Q1","9821413.79695595"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2015Q2","9898247.78332741"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2015Q3","10190945"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2015Q4","10292425.2567499"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2016Q1","10796867.9493035"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2016Q2","11816424.4231411"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2016Q3","12356457.4231723"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2016Q4","12434241.8682494"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2017Q1","11382996.4336962"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2017Q2","12587385.4156325"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2017Q3","13057440.0527482"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2017Q4","13365602.0516552"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2018Q1","13828982.5855842"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2018Q2","14393761.7928407"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2018Q3","14544501.476034"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2020Q2","15704009"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Post Secondary","Persons","2020Q4","13091779"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Age Group","Persons","2016Q3","80669196.391778"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Age Group","Persons","2016Q4","81151884.8713978"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Age Group","Persons","2017Q1","82592121.7192778"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Age Group","Persons","2017Q2","83940087.5646655"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Age Group","Persons","2017Q3","85088055.4682379"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Age Group","Persons","2017Q4","86537538.2371821"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Age Group","Persons","2018Q1","88206724.237182"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Age Group","Persons","2018Q2","89509200.581182"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","Age Group","Persons","2018Q3","90470591.6062699"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2010","9732150.69684566"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2011","10043579.5191446"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2012","21802192.4865524"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2013","13761883.8127711"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2014Q1","13865499.9988307"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2014Q2","13942233.9497029"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2014Q3","14040589.3557006"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2014Q4","14115252.4666392"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2015Q1","14212893.1280061"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2015Q2","14324081.9677005"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2015Q3","14818332"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2015Q4","14894509.235508"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2016Q1","15490365.0223037"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2016Q2","16123471.0997704"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2016Q3","16310810.016079"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2016Q4","16722426.031417"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2017Q1","16980077.979391"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2017Q2","16876495.8098314"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2017Q3","17693526.1683341"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2017Q4","17674818.4508524"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2018Q1","18571507.1045255"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2018Q2","19118821.7057487"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2018Q3","19316411.3315786"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2020Q2","16709724"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","15-24","Persons","2020Q4","9853103.1"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2010","17603002.5109571"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2011","18166298.5913076"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2012","18112017.8929719"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2013","20166032.6213935"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2014Q1","20317867.0225998"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2014Q2","20430309.4307403"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2014Q3","20574434.9264083"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2014Q4","20683842.8207987"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2015Q1","20826920.9625043"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2015Q2","20989851.9826262"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2015Q3","21561988"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2015Q4","21825729.908006"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2016Q1","22759263.3928778"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2016Q2","23445676.7040105"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2016Q3","23844849.6469696"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2016Q4","24017094.359942"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2017Q1","24012658.8982137"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2017Q2","24902953.9512538"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2017Q3","25322014.1634159"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2017Q4","24956056.4400309"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2018Q1","24841362.7021216"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2018Q2","25044999.2824767"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2018Q3","24913007.5839876"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2020Q2","23328460"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","25-34","Persons","2020Q4","20091695"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2010","17034710.9099412"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2011","17579821.6590592"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2012","13863003.2257528"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2013","17503688.2796912"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2014Q1","17635477.3171655"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2014Q2","17733074.9407765"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2014Q3","17858172.8118694"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2014Q4","17953136.5419546"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2015Q1","18077325.332039"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2015Q2","18218745.9991999"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2015Q3","18626982"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2015Q4","18944270.2964382"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2016Q1","19020568.1593086"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2016Q2","19054002.7266432"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2016Q3","19243958.7211979"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2016Q4","19205119.7394804"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2017Q1","19668135.0876608"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2017Q2","20170521.4359297"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2017Q3","20136639.7964946"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2017Q4","21061588.6631061"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2018Q1","21096960.0114311"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2018Q2","21478320.1606695"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2018Q3","21506599.1110619"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2020Q2","20124531"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","35-44","Persons","2020Q4","19268957"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2010","12920807.2093443"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2011","13334273.0400432"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2012","9867764.03845505"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2013","12533099.7986838"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2014Q1","12627464.2053531"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2014Q2","12697346.6631121"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2014Q3","12786920.0191932"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2014Q4","12854916.5401204"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2015Q1","12943838.9703611"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2015Q2","13045099.8764514"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2015Q3","13331948"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2015Q4","13564594.2983333"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2016Q1","13534033.4356182"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","45-54","Persons","2016Q2","13399193.0984745"
